ID,Address,Business Type,Company Name,Local Authorities,Products Sold,Status
11782,"11-13 Main Street, Auchencairn DG7 1QU",Public House,Falcon1000 Ltd,Dumfries and Galloway,Tobacco Only,Active
11783,"20 Smithhills Street,  PA1 1EB",Public House,McCaig Taverns,Renfrewshire,Tobacco Only,Active
11784,"1 Howard Place,  EH3 5JZ",Public House,Cherwell Tobacco,Edinburgh City,Tobacco Only,Active
11785,"40 Victoria Street,  KW15 1DN",Hotel,Norroenan Properties Ltd,Orkney Islands,Tobacco Only,Active
11786,"Ellenabeich, Easdale PA34 4RQ",Public House,The Oyster Bar & Restaurant,Argyll and Bute,Tobacco Only,Inactive
11787,"Otter Ferry,  PA21 2DH",Public House,The Oystercatcher,Argyll and Bute,Tobacco Only,Inactive
11788,"The Oystercatcher, Main Street, Portmahomack IV20 1YB",Restaurant,"Robertson, Blackburn & Co.Ltd.","Highland, South Lanarkshire",Tobacco Only,Active
11789,"Pinefield Crescent, Pinefield IV30 6HZ",Other Catering,The Palace Chipper,Moray,Tobacco Only,Active
11790,"Scalasaig,  PA61 7YW",Other Catering,The Pantry,Argyll and Bute,Tobacco Only,Active
11791,"21 High Street,  ML8 4AL",Confectionary / Tobacconist / Newsagents,The Paper Box,South Lanarkshire,Tobacco Only,Active
11792,"2 - 4 West Mill Road,  EH18 1LX",Restaurant,Paper Scissor Stone Developments Ltd,Midlothian,Tobacco Only,Active
11793,"16 Woodburn Terrace,  KY16 8BA",Convenience Store,The Paper Rack,Fife,Tobacco Only,Inactive
11794,"9, MEADOWBANK PLACE EH8 7AW",Confectionary / Tobacconist / Newsagents,THE PAPER RACK,Edinburgh City,Tobacco Only,Inactive
11795,"2 Maxwell Place,  FK8 1JU",Confectionary / Tobacconist / Newsagents,The Paper Rack,Stirling,Tobacco Only,Active
11796,"82 south bridge street, airdrie ML6 6JA",Confectionary / Tobacconist / Newsagents,the paper rack,North Lanarkshire,Tobacco Only,Active
11797,"King Street,  PH21 1HP",Confectionary / Tobacconist / Newsagents,The Paper Shop,Highland,Tobacco Only,Active
11798,"Thistlebank, Charleston Road AB34 5EJ",Confectionary / Tobacconist / Newsagents,A & I Robertson,Aberdeenshire,Tobacco Only,Active
11799,"50 Bridge Street,  FK14 7DW",Confectionary / Tobacconist / Newsagents,The Paper Shop,Clackmannanshire,Tobacco Only,Inactive
11800,"61-63 Main Street, Uddingston G71 7EP",Confectionary / Tobacconist / Newsagents,The Paper Shop,South Lanarkshire,Tobacco Only,Inactive
11801,"17 NORTH ST.,  PA6 7HF",Confectionary / Tobacconist / Newsagents,The Paper Shop - Houston Ltd.,Renfrewshire,Tobacco Only,Active
11802,"16 Church Street, Lochwinnoch PA12 4AD",Confectionary / Tobacconist / Newsagents,The Paper Shop,Renfrewshire,Tobacco Only,Active
11803,"41 Albert Street,  DD4 6NY",Convenience Store,Liocol Ltd,Dundee City,Tobacco And Nicotine Vapour Products,Active
11804,"75 Wellgate,  ML11 9DS",Confectionary / Tobacconist / Newsagents,D and A Weir,South Lanarkshire,Tobacco Only,Active
11805,"9 The Square,  AB34 4YL",Convenience Store,The Paper Shop,Aberdeenshire,Tobacco Only,Active
11806,"5 Gardyne Street,  DD11 4SN",Other Retail,A.M. Kinnear,Angus,Tobacco Only,Active
11807,"114 dalrymple street,  KA26 9BT",Confectionary / Tobacconist / Newsagents,r alcroft ta agnews,South Ayrshire,Tobacco Only,Active
11808,"105 Atholl Road,  PH16 5AB",Confectionary / Tobacconist / Newsagents,The Paper Shop,Perth and Kinross,Tobacco And Nicotine Vapour Products,Active
11809,"46-48  Keptie Street,  DD11 3AF",Convenience Store,The Paper Shop,Angus,Tobacco And Nicotine Vapour Products,Active
11810,"48 High Street,  DG13 0JH",Confectionary / Tobacconist / Newsagents,The Paper Shop,Dumfries and Galloway,Tobacco Only,Active
11811,"18 market square,  AB51 0AA",Confectionary / Tobacconist / Newsagents,The Paper Shoppe,Aberdeenshire,Tobacco Only,Active
11812,"The Paper Shoppe, 131 Station Road AB41 9AZ",Confectionary / Tobacconist / Newsagents,The Paper Shoppe,Aberdeenshire,Tobacco And Nicotine Vapour Products,Inactive
11813,"421/423 DUMBARTON ROAD, DALMUIR G81 4DU",Public House,THE PARK BAR,West Dunbartonshire,Tobacco Only,Active
11814,"WEST NICOLSON STREET,  EH8 9DD",Public House,We Are PR Ltd,"Edinburgh City, Midlothian",Tobacco Only,Inactive
11815,"The Penny Cook Take Away, 3 Edinburgh Road EH26 8NP",Restaurant,A & R Restaurant group ltd,Midlothian,Tobacco And Nicotine Vapour Products,Active
